VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,Total_amount,Payment_type,Trip_type 
2,2013/8/5 14:15,2013/8/5 14:18,N,1,0,0,0,0,5,0,3,0,0.5,2.22,0,,5.72,1,
2,2013/8/5 14:18,2013/8/5 14:23,N,1,0,0,0,0,1,0,3.3,0,0,0,0,,3.3,2,
2,2013/8/5 14:18,2013/8/5 14:19,N,1,0,0,0,0,1,0,3.25,0,0.25,0,0,,3.5,2,
2,2013/8/5 14:26,2013/8/5 14:27,N,1,0,0,0,0,1,0,3.3,0,0,0,0,,3.3,2,
2,2013/8/5 14:27,2013/8/5 14:28,N,1,0,0,0,0,1,0,3.3,0,3,0,0,,3.3,1,
2,2013/8/5 14:30,2013/8/5 14:31,N,1,0,0,0,0,5,0,2.5,0,0.5,0,0,,3,2,
2,2013/8/5 14:32,2013/8/5 14:32,N,1,0,0,0,0,5,0,2.5,0,0.5,0,0,,3,2,
2,2013/8/5 14:36,2013/8/5 14:38,N,1,0,0,0,0,1,0,3.52,0,0.25,0,0,,3.77,2,
2,2013/8/5 14:36,2013/8/5 14:40,N,1,0,0,0,0,1,0,3.25,1,0.25,0,0,,4.5,2,
2,2013/8/5 14:41,2013/8/5 14:41,N,1,0,0,0,0,1,0,3.25,2,0.25,0,0,,5.5,2,
2,2013/8/5 14:42,2013/8/5 14:42,N,1,0,0,0,0,1,0,3.25,0,0.25,0.88,0,,4.38,1,
2,2013/8/5 14:43,2013/8/5 14:44,N,1,0,0,0,0,1,0,3.25,0,0.25,0,0,,3.5,2,
2,2013/8/5 14:48,2013/8/5 14:49,N,1,0,0,0,0,1,0,3.25,0,0.25,0,0,,3.5,2,
2,2013/8/5 14:50,2013/8/5 14:51,N,1,0,0,0,0,1,0,2.5,0,0.5,0,0,,3,2,
2,2013/8/5 14:51,2013/8/5 14:52,N,1,0,0,0,0,1,0,2.5,0,0.5,0,0,,3,2,
2,2013/8/5 14:52,2013/8/5 14:54,N,1,0,0,0,0,1,0,3.3,1.8,0,0,0,,5.1,2,
2,2013/8/5 14:52,2013/8/5 14:54,N,1,0,0,0,0,1,0,3.52,1,0.25,0,0,,4.77,2,
2,2013/8/5 14:55,2013/8/5 14:55,N,1,0,0,0,0,1,0,2.5,0,0.5,0,0,,3,2,
2,2013/8/5 14:56,2013/8/5 14:56,N,1,0,0,0,0,1,0,3.25,1,0.25,0,0,,4.5,2,
2,2013/8/5 14:56,2013/8/5 15:06,N,1,0,0,0,0,1,0,8.1,0,0,0,0,,8.1,2,
2,2013/8/5 15:07,2013/8/5 15:10,N,1,0,0,0,0,1,0,3,0,0.5,0,0,,3.5,2,
2,2013/8/5 15:07,2013/8/5 15:07,N,1,0,0,0,0,1,0,3.5,0,0,0,0,,3.5,2,
2,2013/8/5 15:08,2013/8/5 15:08,N,1,0,0,0,0,1,0,3.5,0,0,0,0,,3.5,2,
2,2013/8/5 15:11,2013/8/5 15:14,N,1,0,0,0,0,1,0,3.5,0,0.5,0,0,,4,2,
2,2013/8/5 15:11,2013/8/5 15:11,N,1,0,0,0,0,1,0,3.3,0,0,0,0,,3.3,2,
2,2013/8/5 15:11,2013/8/5 15:11,N,1,0,0,0,0,1,0,3.3,0,0,0,0,,3.3,2,
2,2013/8/5 15:12,2013/8/5 15:13,N,1,0,0,0,0,1,0,3.3,0,0,0,0,,3.3,2,
2,2013/8/5 15:14,2013/8/5 15:14,N,1,0,0,0,0,1,0,3.3,0,0,0,0,,3.3,2,
2,2013/8/5 15:15,2013/8/5 15:15,N,1,0,0,0,0,1,0,3.3,0,0,0,0,,3.3,2,
2,2013/8/5 15:16,2013/8/5 15:17,N,1,0,0,0,0,1,0,3.5,0,0,0,0,,3.5,2,
2,2013/8/5 15:17,2013/8/5 15:17,N,1,0,0,0,0,1,0,3.3,0,0,0,0,,3.3,2,
